"feature_name","count_type","description"
"n_X350","count of new-onset features post-COVID-19 infection per patient","PheCode350"
"n_X366","count of new-onset features post-COVID-19 infection per patient","PheCode366"
"n_X367.1","count of new-onset features post-COVID-19 infection per patient","PheCode367.1"
"n_X371.3","count of new-onset features post-COVID-19 infection per patient","PheCode371.3"
"n_X379.2","count of new-onset features post-COVID-19 infection per patient","PheCode379.2"
"n_X386.2","count of new-onset features post-COVID-19 infection per patient","PheCode386.2"
"n_X411.2","count of new-onset features post-COVID-19 infection per patient","PheCode411.2"
"n_X415","count of new-onset features post-COVID-19 infection per patient","PheCode415"
"n_X426.7","count of new-onset features post-COVID-19 infection per patient","PheCode426.7"
"n_X427","count of new-onset features post-COVID-19 infection per patient","PheCode427"
"n_X427.7","count of new-onset features post-COVID-19 infection per patient","PheCode427.7"
"n_X428.1","count of new-onset features post-COVID-19 infection per patient","PheCode428.1"
"n_X428.3","count of new-onset features post-COVID-19 infection per patient","PheCode428.3"
"n_X433","count of new-onset features post-COVID-19 infection per patient","PheCode433"
"n_X433.8","count of new-onset features post-COVID-19 infection per patient","PheCode433.8"
"n_X443.9","count of new-onset features post-COVID-19 infection per patient","PheCode443.9"
"n_X464","count of new-onset features post-COVID-19 infection per patient","PheCode464"
"n_X465","count of new-onset features post-COVID-19 infection per patient","PheCode465"
"n_X475","count of new-onset features post-COVID-19 infection per patient","PheCode475"
"n_X476","count of new-onset features post-COVID-19 infection per patient","PheCode476"
"n_X480.1","count of new-onset features post-COVID-19 infection per patient","PheCode480.1"
"n_X483","count of new-onset features post-COVID-19 infection per patient","PheCode483"
"n_X510","count of new-onset features post-COVID-19 infection per patient","PheCode510"
"n_X512","count of new-onset features post-COVID-19 infection per patient","PheCode512"
"n_X512.7","count of new-onset features post-COVID-19 infection per patient","PheCode512.7"
"n_X512.8","count of new-onset features post-COVID-19 infection per patient","PheCode512.8"
"n_X512.9","count of new-onset features post-COVID-19 infection per patient","PheCode512.9"
"n_X521.1","count of new-onset features post-COVID-19 infection per patient","PheCode521.1"
"n_X532","count of new-onset features post-COVID-19 infection per patient","PheCode532"
"n_X550","count of new-onset features post-COVID-19 infection per patient","PheCode550"
"n_X550.2","count of new-onset features post-COVID-19 infection per patient","PheCode550.2"
"n_X571","count of new-onset features post-COVID-19 infection per patient","PheCode571"
"n_X571.5","count of new-onset features post-COVID-19 infection per patient","PheCode571.5"
"n_X575","count of new-onset features post-COVID-19 infection per patient","PheCode575"
"n_X585.1","count of new-onset features post-COVID-19 infection per patient","PheCode585.1"
"n_X593.1","count of new-onset features post-COVID-19 infection per patient","PheCode593.1"
"n_X599.5","count of new-onset features post-COVID-19 infection per patient","PheCode599.5"
"n_X605","count of new-onset features post-COVID-19 infection per patient","PheCode605"
"n_X608","count of new-onset features post-COVID-19 infection per patient","PheCode608"
"n_X687","count of new-onset features post-COVID-19 infection per patient","PheCode687"
"n_X690.1","count of new-onset features post-COVID-19 infection per patient","PheCode690.1"
"n_X695","count of new-onset features post-COVID-19 infection per patient","PheCode695"
"n_X698","count of new-onset features post-COVID-19 infection per patient","PheCode698"
"n_X714.1","count of new-onset features post-COVID-19 infection per patient","PheCode714.1"
"n_X720.1","count of new-onset features post-COVID-19 infection per patient","PheCode720.1"
"n_X727","count of new-onset features post-COVID-19 infection per patient","PheCode727"
"n_X727.1","count of new-onset features post-COVID-19 infection per patient","PheCode727.1"
"n_X728.7","count of new-onset features post-COVID-19 infection per patient","PheCode728.7"
"n_X735.2","count of new-onset features post-COVID-19 infection per patient","PheCode735.2"
