"feature_name","count_type","description"
"m_AB0028363","number of distinct months the feature was observed","NLP concept CUI AB0028363"
"m_AB0030308","number of distinct months the feature was observed","NLP concept CUI AB0030308"
"m_C0000768","number of distinct months the feature was observed","NLP concept CUI C0000768"
"m_C0000970","number of distinct months the feature was observed","NLP concept CUI C0000970"
"m_C0001617","number of distinct months the feature was observed","NLP concept CUI C0001617"
"m_C0001962","number of distinct months the feature was observed","NLP concept CUI C0001962"
"m_C0002622","number of distinct months the feature was observed","NLP concept CUI C0002622"
"m_C0002771","number of distinct months the feature was observed","NLP concept CUI C0002771"
"m_C0002895","number of distinct months the feature was observed","NLP concept CUI C0002895"
"m_C0003232","number of distinct months the feature was observed","NLP concept CUI C0003232"
"m_C0003241","number of distinct months the feature was observed","NLP concept CUI C0003241"
"m_C0003281","number of distinct months the feature was observed","NLP concept CUI C0003281"
"m_C0003451","number of distinct months the feature was observed","NLP concept CUI C0003451"
"m_C0003578","number of distinct months the feature was observed","NLP concept CUI C0003578"
"m_C0003811","number of distinct months the feature was observed","NLP concept CUI C0003811"
"m_C0004093","number of distinct months the feature was observed","NLP concept CUI C0004093"
"m_C0004096","number of distinct months the feature was observed","NLP concept CUI C0004096"
"m_C0005515","number of distinct months the feature was observed","NLP concept CUI C0005515"
"m_C0005758","number of distinct months the feature was observed","NLP concept CUI C0005758"
"m_C0005779","number of distinct months the feature was observed","NLP concept CUI C0005779"
"m_C0005874","number of distinct months the feature was observed","NLP concept CUI C0005874"
"m_C0006560","number of distinct months the feature was observed","NLP concept CUI C0006560"
"m_C0006826","number of distinct months the feature was observed","NLP concept CUI C0006826"
"m_C0007222","number of distinct months the feature was observed","NLP concept CUI C0007222"
"m_C0007584","number of distinct months the feature was observed","NLP concept CUI C0007584"
"m_C0008301","number of distinct months the feature was observed","NLP concept CUI C0008301"
"m_C0009269","number of distinct months the feature was observed","NLP concept CUI C0009269"
"m_C0009443","number of distinct months the feature was observed","NLP concept CUI C0009443"
"m_C0010200","number of distinct months the feature was observed","NLP concept CUI C0010200"
"m_C0010201","number of distinct months the feature was observed","NLP concept CUI C0010201"
"m_C0010340","number of distinct months the feature was observed","NLP concept CUI C0010340"
"m_C0010674","number of distinct months the feature was observed","NLP concept CUI C0010674"
"m_C0011168","number of distinct months the feature was observed","NLP concept CUI C0011168"
"m_C0011253","number of distinct months the feature was observed","NLP concept CUI C0011253"
"m_C0011581","number of distinct months the feature was observed","NLP concept CUI C0011581"
"m_C0013132","number of distinct months the feature was observed","NLP concept CUI C0013132"
"m_C0013395","number of distinct months the feature was observed","NLP concept CUI C0013395"
"m_C0013404","number of distinct months the feature was observed","NLP concept CUI C0013404"
"m_C0013491","number of distinct months the feature was observed","NLP concept CUI C0013491"
"m_C0013798","number of distinct months the feature was observed","NLP concept CUI C0013798"
"m_C0015468","number of distinct months the feature was observed","NLP concept CUI C0015468"
"m_C0015644","number of distinct months the feature was observed","NLP concept CUI C0015644"
"m_C0016199","number of distinct months the feature was observed","NLP concept CUI C0016199"
"m_C0016204","number of distinct months the feature was observed","NLP concept CUI C0016204"
"m_C0016286","number of distinct months the feature was observed","NLP concept CUI C0016286"
"m_C0016382","number of distinct months the feature was observed","NLP concept CUI C0016382"
"m_C0016579","number of distinct months the feature was observed","NLP concept CUI C0016579"
"m_C0018799","number of distinct months the feature was observed","NLP concept CUI C0018799"
"m_C0018808","number of distinct months the feature was observed","NLP concept CUI C0018808"
"m_C0018932","number of distinct months the feature was observed","NLP concept CUI C0018932"
"m_C0019345","number of distinct months the feature was observed","NLP concept CUI C0019345"
"m_C0019521","number of distinct months the feature was observed","NLP concept CUI C0019521"
"m_C0019825","number of distinct months the feature was observed","NLP concept CUI C0019825"
"m_C0020580","number of distinct months the feature was observed","NLP concept CUI C0020580"
"m_C0020975","number of distinct months the feature was observed","NLP concept CUI C0020975"
"m_C0021081","number of distinct months the feature was observed","NLP concept CUI C0021081"
"m_C0021368","number of distinct months the feature was observed","NLP concept CUI C0021368"
"m_C0021400","number of distinct months the feature was observed","NLP concept CUI C0021400"
"m_C0021440","number of distinct months the feature was observed","NLP concept CUI C0021440"
"m_C0022346","number of distinct months the feature was observed","NLP concept CUI C0022346"
"m_C0022885","number of distinct months the feature was observed","NLP concept CUI C0022885"
"m_C0023380","number of distinct months the feature was observed","NLP concept CUI C0023380"
"m_C0024031","number of distinct months the feature was observed","NLP concept CUI C0024031"
"m_C0024861","number of distinct months the feature was observed","NLP concept CUI C0024861"
"m_C0026821","number of distinct months the feature was observed","NLP concept CUI C0026821"
"m_C0026838","number of distinct months the feature was observed","NLP concept CUI C0026838"
"m_C0027092","number of distinct months the feature was observed","NLP concept CUI C0027092"
"m_C0027497","number of distinct months the feature was observed","NLP concept CUI C0027497"
"m_C0028081","number of distinct months the feature was observed","NLP concept CUI C0028081"
"m_C0028778","number of distinct months the feature was observed","NLP concept CUI C0028778"
"m_C0029216","number of distinct months the feature was observed","NLP concept CUI C0029216"
"m_C0030054","number of distinct months the feature was observed","NLP concept CUI C0030054"
"m_C0031350","number of distinct months the feature was observed","NLP concept CUI C0031350"
"m_C0032310","number of distinct months the feature was observed","NLP concept CUI C0032310"
"m_C0032781","number of distinct months the feature was observed","NLP concept CUI C0032781"
"m_C0033975","number of distinct months the feature was observed","NLP concept CUI C0033975"
"m_C0034065","number of distinct months the feature was observed","NLP concept CUI C0034065"
"m_C0034886","number of distinct months the feature was observed","NLP concept CUI C0034886"
"m_C0035648","number of distinct months the feature was observed","NLP concept CUI C0035648"
"m_C0036572","number of distinct months the feature was observed","NLP concept CUI C0036572"
"m_C0036690","number of distinct months the feature was observed","NLP concept CUI C0036690"
"m_C0037090","number of distinct months the feature was observed","NLP concept CUI C0037090"
"m_C0037284","number of distinct months the feature was observed","NLP concept CUI C0037284"
"m_C0037369","number of distinct months the feature was observed","NLP concept CUI C0037369"
"m_C0037383","number of distinct months the feature was observed","NLP concept CUI C0037383"
"m_C0037384","number of distinct months the feature was observed","NLP concept CUI C0037384"
"m_C0037580","number of distinct months the feature was observed","NLP concept CUI C0037580"
"m_C0038317","number of distinct months the feature was observed","NLP concept CUI C0038317"
"m_C0038436","number of distinct months the feature was observed","NLP concept CUI C0038436"
"m_C0038443","number of distinct months the feature was observed","NLP concept CUI C0038443"
"m_C0038454","number of distinct months the feature was observed","NLP concept CUI C0038454"
"m_C0038586","number of distinct months the feature was observed","NLP concept CUI C0038586"
"m_C0038990","number of distinct months the feature was observed","NLP concept CUI C0038990"
"m_C0038999","number of distinct months the feature was observed","NLP concept CUI C0038999"
"m_C0039070","number of distinct months the feature was observed","NLP concept CUI C0039070"
"m_C0040034","number of distinct months the feature was observed","NLP concept CUI C0040034"
"m_C0040264","number of distinct months the feature was observed","NLP concept CUI C0040264"
"m_C0040822","number of distinct months the feature was observed","NLP concept CUI C0040822"
"m_C0041696","number of distinct months the feature was observed","NLP concept CUI C0041696"
"m_C0042024","number of distinct months the feature was observed","NLP concept CUI C0042024"
"m_C0042109","number of distinct months the feature was observed","NLP concept CUI C0042109"
"m_C0042890","number of distinct months the feature was observed","NLP concept CUI C0042890"
"m_C0043094","number of distinct months the feature was observed","NLP concept CUI C0043094"
"m_C0052796","number of distinct months the feature was observed","NLP concept CUI C0052796"
"m_C0086132","number of distinct months the feature was observed","NLP concept CUI C0086132"
"m_C0087086","number of distinct months the feature was observed","NLP concept CUI C0087086"
"m_C0149931","number of distinct months the feature was observed","NLP concept CUI C0149931"
"m_C0150312","number of distinct months the feature was observed","NLP concept CUI C0150312"
"m_C0151602","number of distinct months the feature was observed","NLP concept CUI C0151602"
"m_C0151907","number of distinct months the feature was observed","NLP concept CUI C0151907"
"m_C0151908","number of distinct months the feature was observed","NLP concept CUI C0151908"
"m_C0152030","number of distinct months the feature was observed","NLP concept CUI C0152030"
"m_C0152032","number of distinct months the feature was observed","NLP concept CUI C0152032"
"m_C0162429","number of distinct months the feature was observed","NLP concept CUI C0162429"
"m_C0168634","number of distinct months the feature was observed","NLP concept CUI C0168634"
"m_C0178987","number of distinct months the feature was observed","NLP concept CUI C0178987"
"m_C0181758","number of distinct months the feature was observed","NLP concept CUI C0181758"
"m_C0184567","number of distinct months the feature was observed","NLP concept CUI C0184567"
"m_C0199470","number of distinct months the feature was observed","NLP concept CUI C0199470"
"m_C0221170","number of distinct months the feature was observed","NLP concept CUI C0221170"
"m_C0221776","number of distinct months the feature was observed","NLP concept CUI C0221776"
"m_C0231218","number of distinct months the feature was observed","NLP concept CUI C0231218"
"m_C0231367","number of distinct months the feature was observed","NLP concept CUI C0231367"
"m_C0231402","number of distinct months the feature was observed","NLP concept CUI C0231402"
"m_C0231685","number of distinct months the feature was observed","NLP concept CUI C0231685"
"m_C0231749","number of distinct months the feature was observed","NLP concept CUI C0231749"
"m_C0231780","number of distinct months the feature was observed","NLP concept CUI C0231780"
"m_C0231911","number of distinct months the feature was observed","NLP concept CUI C0231911"
"m_C0232257","number of distinct months the feature was observed","NLP concept CUI C0232257"
"m_C0232483","number of distinct months the feature was observed","NLP concept CUI C0232483"
"m_C0232487","number of distinct months the feature was observed","NLP concept CUI C0232487"
"m_C0232492","number of distinct months the feature was observed","NLP concept CUI C0232492"
"m_C0233471","number of distinct months the feature was observed","NLP concept CUI C0233471"
"m_C0233477","number of distinct months the feature was observed","NLP concept CUI C0233477"
"m_C0233514","number of distinct months the feature was observed","NLP concept CUI C0233514"
"m_C0233585","number of distinct months the feature was observed","NLP concept CUI C0233585"
"m_C0233715","number of distinct months the feature was observed","NLP concept CUI C0233715"
"m_C0233763","number of distinct months the feature was observed","NLP concept CUI C0233763"
"m_C0234233","number of distinct months the feature was observed","NLP concept CUI C0234233"
"m_C0234857","number of distinct months the feature was observed","NLP concept CUI C0234857"
"m_C0234987","number of distinct months the feature was observed","NLP concept CUI C0234987"
"m_C0235150","number of distinct months the feature was observed","NLP concept CUI C0235150"
"m_C0235299","number of distinct months the feature was observed","NLP concept CUI C0235299"
"m_C0235546","number of distinct months the feature was observed","NLP concept CUI C0235546"
"m_C0235886","number of distinct months the feature was observed","NLP concept CUI C0235886"
"m_C0236720","number of distinct months the feature was observed","NLP concept CUI C0236720"
"m_C0238995","number of distinct months the feature was observed","NLP concept CUI C0238995"
"m_C0239649","number of distinct months the feature was observed","NLP concept CUI C0239649"
"m_C0240735","number of distinct months the feature was observed","NLP concept CUI C0240735"
"m_C0241057","number of distinct months the feature was observed","NLP concept CUI C0241057"
"m_C0241416","number of distinct months the feature was observed","NLP concept CUI C0241416"
"m_C0241981","number of distinct months the feature was observed","NLP concept CUI C0241981"
"m_C0242184","number of distinct months the feature was observed","NLP concept CUI C0242184"
"m_C0242656","number of distinct months the feature was observed","NLP concept CUI C0242656"
"m_C0242781","number of distinct months the feature was observed","NLP concept CUI C0242781"
"m_C0242979","number of distinct months the feature was observed","NLP concept CUI C0242979"
"m_C0267071","number of distinct months the feature was observed","NLP concept CUI C0267071"
"m_C0268000","number of distinct months the feature was observed","NLP concept CUI C0268000"
"m_C0275518","number of distinct months the feature was observed","NLP concept CUI C0275518"
"m_C0278034","number of distinct months the feature was observed","NLP concept CUI C0278034"
"m_C0278134","number of distinct months the feature was observed","NLP concept CUI C0278134"
"m_C0278138","number of distinct months the feature was observed","NLP concept CUI C0278138"
"m_C0278140","number of distinct months the feature was observed","NLP concept CUI C0278140"
"m_C0278147","number of distinct months the feature was observed","NLP concept CUI C0278147"
"m_C0281982","number of distinct months the feature was observed","NLP concept CUI C0281982"
"m_C0311394","number of distinct months the feature was observed","NLP concept CUI C0311394"
"m_C0331888","number of distinct months the feature was observed","NLP concept CUI C0331888"
"m_C0332448","number of distinct months the feature was observed","NLP concept CUI C0332448"
"m_C0333243","number of distinct months the feature was observed","NLP concept CUI C0333243"
"m_C0333288","number of distinct months the feature was observed","NLP concept CUI C0333288"
"m_C0338656","number of distinct months the feature was observed","NLP concept CUI C0338656"
"m_C0344315","number of distinct months the feature was observed","NLP concept CUI C0344315"
"m_C0349506","number of distinct months the feature was observed","NLP concept CUI C0349506"
"m_C0392162","number of distinct months the feature was observed","NLP concept CUI C0392162"
"m_C0401151","number of distinct months the feature was observed","NLP concept CUI C0401151"
"m_C0423572","number of distinct months the feature was observed","NLP concept CUI C0423572"
"m_C0424000","number of distinct months the feature was observed","NLP concept CUI C0424000"
"m_C0424091","number of distinct months the feature was observed","NLP concept CUI C0424091"
"m_C0424235","number of distinct months the feature was observed","NLP concept CUI C0424235"
"m_C0424295","number of distinct months the feature was observed","NLP concept CUI C0424295"
"m_C0424565","number of distinct months the feature was observed","NLP concept CUI C0424565"
"m_C0426576","number of distinct months the feature was observed","NLP concept CUI C0426576"
"m_C0427008","number of distinct months the feature was observed","NLP concept CUI C0427008"
"m_C0427086","number of distinct months the feature was observed","NLP concept CUI C0427086"
"m_C0436345","number of distinct months the feature was observed","NLP concept CUI C0436345"
"m_C0439663","number of distinct months the feature was observed","NLP concept CUI C0439663"
"m_C0442797","number of distinct months the feature was observed","NLP concept CUI C0442797"
"m_C0457097","number of distinct months the feature was observed","NLP concept CUI C0457097"
"m_C0457949","number of distinct months the feature was observed","NLP concept CUI C0457949"
"m_C0459435","number of distinct months the feature was observed","NLP concept CUI C0459435"
"m_C0520962","number of distinct months the feature was observed","NLP concept CUI C0520962"
"m_C0521530","number of distinct months the feature was observed","NLP concept CUI C0521530"
"m_C0522224","number of distinct months the feature was observed","NLP concept CUI C0522224"
"m_C0541828","number of distinct months the feature was observed","NLP concept CUI C0541828"
"m_C0542571","number of distinct months the feature was observed","NLP concept CUI C0542571"
"m_C0547030","number of distinct months the feature was observed","NLP concept CUI C0547030"
"m_C0558143","number of distinct months the feature was observed","NLP concept CUI C0558143"
"m_C0560885","number of distinct months the feature was observed","NLP concept CUI C0560885"
"m_C0562483","number of distinct months the feature was observed","NLP concept CUI C0562483"
"m_C0564221","number of distinct months the feature was observed","NLP concept CUI C0564221"
"m_C0564408","number of distinct months the feature was observed","NLP concept CUI C0564408"
"m_C0574002","number of distinct months the feature was observed","NLP concept CUI C0574002"
"m_C0574032","number of distinct months the feature was observed","NLP concept CUI C0574032"
"m_C0574068","number of distinct months the feature was observed","NLP concept CUI C0574068"
"m_C0574785","number of distinct months the feature was observed","NLP concept CUI C0574785"
"m_C0577081","number of distinct months the feature was observed","NLP concept CUI C0577081"
"m_C0578044","number of distinct months the feature was observed","NLP concept CUI C0578044"
"m_C0588007","number of distinct months the feature was observed","NLP concept CUI C0588007"
"m_C0597177","number of distinct months the feature was observed","NLP concept CUI C0597177"
"m_C0597357","number of distinct months the feature was observed","NLP concept CUI C0597357"
"m_C0600116","number of distinct months the feature was observed","NLP concept CUI C0600116"
"m_C0678215","number of distinct months the feature was observed","NLP concept CUI C0678215"
"m_C0679199","number of distinct months the feature was observed","NLP concept CUI C0679199"
"m_C0683369","number of distinct months the feature was observed","NLP concept CUI C0683369"
"m_C0683525","number of distinct months the feature was observed","NLP concept CUI C0683525"
"m_C0700031","number of distinct months the feature was observed","NLP concept CUI C0700031"
"m_C0700201","number of distinct months the feature was observed","NLP concept CUI C0700201"
"m_C0742969","number of distinct months the feature was observed","NLP concept CUI C0742969"
"m_C0747149","number of distinct months the feature was observed","NLP concept CUI C0747149"
"m_C0748355","number of distinct months the feature was observed","NLP concept CUI C0748355"
"m_C0751249","number of distinct months the feature was observed","NLP concept CUI C0751249"
"m_C0849963","number of distinct months the feature was observed","NLP concept CUI C0849963"
"m_C0851578","number of distinct months the feature was observed","NLP concept CUI C0851578"
"m_C0876889","number of distinct months the feature was observed","NLP concept CUI C0876889"
"m_C0917801","number of distinct months the feature was observed","NLP concept CUI C0917801"
"m_C1116171","number of distinct months the feature was observed","NLP concept CUI C1116171"
"m_C1260880","number of distinct months the feature was observed","NLP concept CUI C1260880"
"m_C1270972","number of distinct months the feature was observed","NLP concept CUI C1270972"
"m_C1277295","number of distinct months the feature was observed","NLP concept CUI C1277295"
"m_C1306587","number of distinct months the feature was observed","NLP concept CUI C1306587"
"m_C1330330","number of distinct months the feature was observed","NLP concept CUI C1330330"
"m_C1444656","number of distinct months the feature was observed","NLP concept CUI C1444656"
"m_C1446409","number of distinct months the feature was observed","NLP concept CUI C1446409"
"m_C1456784","number of distinct months the feature was observed","NLP concept CUI C1456784"
"m_C1457887","number of distinct months the feature was observed","NLP concept CUI C1457887"
"m_C1531652","number of distinct months the feature was observed","NLP concept CUI C1531652"
"m_C1579931","number of distinct months the feature was observed","NLP concept CUI C1579931"
"m_C1615608","number of distinct months the feature was observed","NLP concept CUI C1615608"
"m_C1999216","number of distinct months the feature was observed","NLP concept CUI C1999216"
"m_C2020635","number of distinct months the feature was observed","NLP concept CUI C2020635"
"m_C2141922","number of distinct months the feature was observed","NLP concept CUI C2141922"
"m_C2825951","number of distinct months the feature was observed","NLP concept CUI C2825951"
"m_C3257803","number of distinct months the feature was observed","NLP concept CUI C3257803"
"m_C3714435","number of distinct months the feature was observed","NLP concept CUI C3714435"
"m_C3887524","number of distinct months the feature was observed","NLP concept CUI C3887524"
"m_C4305327","number of distinct months the feature was observed","NLP concept CUI C4305327"
"m_C4534363","number of distinct months the feature was observed","NLP concept CUI C4534363"
"m_C4699158","number of distinct months the feature was observed","NLP concept CUI C4699158"
"m_C4726677","number of distinct months the feature was observed","NLP concept CUI C4726677"
"m_C5192202","number of distinct months the feature was observed","NLP concept CUI C5192202"
"m_C5203670","number of distinct months the feature was observed","NLP concept CUI C5203670"
"m_C5203672","number of distinct months the feature was observed","NLP concept CUI C5203672"
"m_C5230913","number of distinct months the feature was observed","NLP concept CUI C5230913"
"m_C5387588","number of distinct months the feature was observed","NLP concept CUI C5387588"
"m_C5392141","number of distinct months the feature was observed","NLP concept CUI C5392141"
"m_C5392166","number of distinct months the feature was observed","NLP concept CUI C5392166"
"m_C5424056","number of distinct months the feature was observed","NLP concept CUI C5424056"
"m_C5433281","number of distinct months the feature was observed","NLP concept CUI C5433281"
"m_C5433293","number of distinct months the feature was observed","NLP concept CUI C5433293"
"m_C5433947","number of distinct months the feature was observed","NLP concept CUI C5433947"
"m_C5435024","number of distinct months the feature was observed","NLP concept CUI C5435024"
"m_C5442019","number of distinct months the feature was observed","NLP concept CUI C5442019"
"n_AB0001449","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0001449"
"n_AB0002086","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0002086"
"n_AB0004401","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0004401"
"n_AB0005063","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0005063"
"n_AB0006116","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0006116"
"n_AB0006563","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0006563"
"n_AB0007370","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0007370"
"n_AB0007377","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0007377"
"n_AB0008523","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0008523"
"n_AB0008696","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0008696"
"n_AB0009156","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0009156"
"n_AB0009452","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0009452"
"n_AB0009812","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0009812"
"n_AB0013458","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0013458"
"n_AB0014776","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0014776"
"n_AB0014980","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0014980"
"n_AB0016229","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0016229"
"n_AB0016278","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0016278"
"n_AB0018717","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0018717"
"n_AB0018862","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0018862"
"n_AB0019023","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0019023"
"n_AB0022242","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0022242"
"n_AB0023778","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0023778"
"n_AB0023814","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0023814"
"n_AB0025942","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0025942"
"n_AB0026493","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0026493"
"n_AB0027013","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0027013"
"n_AB0027230","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0027230"
"n_AB0027306","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0027306"
"n_AB0027420","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0027420"
"n_AB0027425","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0027425"
"n_AB0027874","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0027874"
"n_AB0027965","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0027965"
"n_AB0028309","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0028309"
"n_AB0028363","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0028363"
"n_AB0028414","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0028414"
"n_AB0028711","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0028711"
"n_AB0030308","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0030308"
"n_AB0030993","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI AB0030993"
"n_C0000731","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0000731"
"n_C0000768","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0000768"
"n_C0000970","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0000970"
"n_C0001546","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0001546"
"n_C0002622","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0002622"
"n_C0002771","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0002771"
"n_C0002792","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0002792"
"n_C0002962","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0002962"
"n_C0003211","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0003211"
"n_C0003232","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0003232"
"n_C0003241","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0003241"
"n_C0003281","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0003281"
"n_C0003578","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0003578"
"n_C0004096","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0004096"
"n_C0004134","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0004134"
"n_C0005515","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0005515"
"n_C0005779","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0005779"
"n_C0006266","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0006266"
"n_C0006560","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0006560"
"n_C0006625","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0006625"
"n_C0006826","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0006826"
"n_C0007222","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0007222"
"n_C0008035","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0008035"
"n_C0008301","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0008301"
"n_C0008909","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0008909"
"n_C0009443","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0009443"
"n_C0009450","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0009450"
"n_C0009676","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0009676"
"n_C0010054","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0010054"
"n_C0010200","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0010200"
"n_C0011168","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0011168"
"n_C0011206","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0011206"
"n_C0011253","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0011253"
"n_C0011847","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0011847"
"n_C0011860","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0011860"
"n_C0011900","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0011900"
"n_C0012634","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0012634"
"n_C0013132","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0013132"
"n_C0013238","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0013238"
"n_C0013395","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0013395"
"n_C0013415","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0013415"
"n_C0013516","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0013516"
"n_C0013595","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0013595"
"n_C0014591","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0014591"
"n_C0015230","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0015230"
"n_C0015468","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0015468"
"n_C0015644","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0015644"
"n_C0016199","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0016199"
"n_C0016204","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0016204"
"n_C0016286","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0016286"
"n_C0016512","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0016512"
"n_C0016579","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0016579"
"n_C0017181","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0017181"
"n_C0018418","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0018418"
"n_C0018799","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0018799"
"n_C0018808","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0018808"
"n_C0018834","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0018834"
"n_C0018932","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0018932"
"n_C0018941","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0018941"
"n_C0018944","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0018944"
"n_C0018991","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0018991"
"n_C0019079","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0019079"
"n_C0019521","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0019521"
"n_C0019825","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0019825"
"n_C0020336","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0020336"
"n_C0020505","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0020505"
"n_C0020580","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0020580"
"n_C0020740","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0020740"
"n_C0020975","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0020975"
"n_C0021081","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0021081"
"n_C0021368","count of new-onset features post-COVID-19 infection per patient","NLP concept CUI C0021368"
